start	target	type
Computeranimation / Visual Effects 2002	Wojtek Wawszczyk	awarded
Dorothy Okello	Digital Communities 2004	jurymember in
Digital Musics 2001	Ryoji Ikeda	awarded
Computer Graphics 1990	Manfred Mohr	awarded
Computer Animation / Visual Effects 1998	Diana Walczak	awarded
Computer Music 1992	Wolfgang Mitterer	awarded
Alfred Nemeczek	Computer Graphics 1990	jurymember in
World Wide Web 1995	Max Metral	awarded
Alfred Nemeczek	Computer Animation 1987	jurymember in
Daniel Sauter	Interactive Art 2006	jurymember in
Computer Animation 1994	Maurice Benayoun	awarded
Joachim Sauter	Interactive Art 2008	jurymember in
u19-freestyle computing 2005	7c & 8a-Klasse (BORG Bad Leonfelden)	awarded
cybergeneration-u19 freestyle computing 2003	Manuel Fallmann	awarded
Computer Graphics 1993	Constanze Ruhm	awarded
Computer Animation 1994	Tamás Waliczky	awarded
Interactive Art 1991	Chico McMurtrie	awarded
Computer Animation / Visual Effects 2004	PIXAR	awarded
Naut Humon	Digital Musics 1999	jurymember in
Tomoe Moriyama	Interactive Art 2009	jurymember in
Interactive Art 1999	Christa Sommerer	awarded
Computer Animation / Visual Effects 2000	Christian Volckman	awarded
Computer Animation / Visual Effects 1998	Joey Lessard	awarded
Computer Animation / Visual Effects 1998	Craig Hayes	awarded
Digital Musics 2003	Yuko Nexus 6	awarded
Computer Animation 1988	Larry Malone	awarded
Jonty Harrison	Computer Music 1998	jurymember in
Computer Graphics 1989	William Latham	awarded
Computer Animation / Visual Effects 2001	Jean-Dominique Fievet	awarded
World Wide Web 1996	Trevor Blackwell	awarded
Rita Street	Computer Animation/Visual Effects 2005	jurymember in
Digital Communities 2007	Chuck Crow	awarded
Computer Animation / VFX / Film 2007	Gergely Szelei	awarded
Loren Carpenter	Computer Graphics 1989	jurymember in
Computer Animation / Visual Effects 1999	Fuel	awarded
u19 - freestyle computing 2006	David Wurm	awarded
A. J. Mitchell	Computer Animation 1991	jurymember in
Interactive Art 1995	Jon McCormack	awarded
Ed Burton	Net Vision 2005	jurymember in
.net 1997	Omar Khan	awarded
Ivan Tsupka	Computer Animation/VFX/Film 2008	jurymember in
Computer Graphics 1994	Adelhard Roidinger	awarded
Computer Animation 1995	George Murphy	awarded
Digital Musics 2008	Jörg Niehage	awarded
Computer Animation 1994	John Tonkin	awarded
Digital Musics 2002	Stephan Wittwer	awarded
Digital Musics 1999	Francisco López	awarded
Computer Animation 1990	Christiane Geoffroy	awarded
Interactive Art 2008	Richard The	awarded
Computer Music 1988	Martin Fischer	awarded
Computer Graphics 1989	Stefan Mück	awarded
Hybrid Art 2009	Frieder Weiss	awarded
Interactive Art 1991	Rick Sayre	awarded
Digital Communities 2005	The Couchsurfing Project	awarded
Digital Musics 2001	Pan Sonic	awarded
Computer Graphics 1989	Atsushi Satoh	awarded
Media.Art.Research Award 2009	Jan Philip Müller	awarded
Digital Musics 1999	Richard D. James	awarded
Markus Kurtz	Computer Animation / Film / VFX 2009	jurymember in
Computer Animation 1989	Edward Zajec	awarded
Digital Communities 2006	Roman Bleichenbacher	awarded
Digital Musics 2006	Staalplaat Soundsystem	awarded
Computer Animation / Visual Effects 2001	Don Relyea	awarded
cybergeneration-u19 freestyle computing 2002	Philipp Luftensteiner	awarded
Computer Animation / Visual Effects 1998	Tom Bertino	awarded
Computer Graphics 1989	Charles A. Csuri	awarded
Net Vision / Net Excellence 2003	Last.Team	awarded
Computeranimation / Visual Effects 2002	The Mill	awarded
Interactive Art 2009	!Mediengruppe Bitnik	awarded
Benjamin Weil	Interactive Art 2005	jurymember in
Isaac Mao	Statment of the Digital Communities 2008	jurymember in
Computer Animation 1994	Rachel Strickland	awarded
u19-freestyle computing 2004	Manuel Fallmann	awarded
Interactive Art 2005	Kasper T. Toeplitz	awarded
Computer Animation/Visual Effects 2006	Saschka Unseld	awarded
Computer Animation 1996	Pierre Lachapelle	awarded
Chris Watson	Digital Musics 2002	jurymember in
Computer Animation / VFX / Film 2007	Todd Mueller	awarded
Oswald Oberhuber	Computer Animation 1987	jurymember in
Gerlinde Lang	u19 - freestyle computing 2007	jurymember in
cybergeneration-u19 freestyle computing 2001	Marvin Jagadits	awarded
Digital Musics 2007	Günther Rabl	awarded
Computer Animation / Visual Effects 1999	Daniel Robichaud	awarded
Digital Musics 2006	Satoshi Fukushima	awarded
Computer Animation 1989	Simon Wachsmuth	awarded
u19 - freestyle computing 2008	Chucky Fuchs	awarded
Computer Animation / Visual Effects 2003	Tippett Studio	awarded
cybergeneration-u19 freestyle computing 2003	Christoph Haidinger	awarded
Michael Kräftner	[the next idea] Art- and Technology Grant 2004	jurymember in
u19 - freestyle computing 2006	Lisa Steiner	awarded
Computer Animation / Visual Effects 1998	Thierry Prieur	awarded
Stahl Stenslie	Interactive Art 2003	jurymember in
Interactive Art 2008	Gunnar Green	awarded
Computer Graphics 1993	Char Davies	awarded
Stephen Arnold	Computer Music 1995	jurymember in
Computer Animation / Visual Effects 2000	Jean Hemez	awarded
Rolf Herken	Computer Animation 1996	jurymember in
Digital Musics 2005	Kapital Band 1	awarded
.net 1999	Martin Wattenberg	awarded
Interactive Art 2009	Helgard Haug	awarded
Computer Animation 1994	Hideo Yamashita	awarded
Computer Graphics 1992	William Latham	awarded
Computer Animation/Visual Effects 2005	Roland Seidel	awarded
u19 - freestyle computing 2007	Daniel Pirngruber	awarded
u19 - freestyle computing 2007	Borjana Oroz	awarded
Interactive Art 2008	Frédéric Eyl	awarded
Sandrine von Klot	Hybrid Art 2007	jurymember in
Digital Musics 2005	artificiel	awarded
Digital Musics 2009	Nicolas Bernier	awarded
Scott DeLahunta	Interactive Art 2005	jurymember in
.net 1998	Andreas Troeger	awarded
Demetria Royals	.net 1997	jurymember in
Computer Animation 1990	Karl Sims	awarded
Roy Ascott	Interactive Art 1992	jurymember in
Computer Animation 1994	Frank Pröscholdt	awarded
cybergeneration-u19 freestyle computing 2002	Stephan Hamberger	awarded
Naut Humon	Digital Musics 2003	jurymember in
Michael Naimark	Interactive Art 1994	jurymember in
Interactive Art 2005	Iram Ghufran	awarded
Digital Musics 2000	M. C. Schmidt	awarded
.net 1999	Laurent Mignonneau	awarded
Grita Insam	Computer Animation 1990	jurymember in
cybergeneration-u19 freestyle computing 2001	Johannes Schiehsl	awarded
Interactive Art 1998	Stephen Wilson	awarded
Interactive Art 1993	Van Gogh TV	awarded
Michael Wahrman	Computer Animation / Visual Effects 1998	jurymember in
Digital Communities 2005	Machine Molle	awarded
Digital Musics 2006	Staubgold	awarded
Digital Communities 2007	Michael Smolens	awarded
Andrey Smirnov	Digital Musics 2007	jurymember in
Computeranimation / Visual Effects 2002	Erik Nash	awarded
Net Vision 2004	schoenerwissen / OfCD	awarded
Net Vision / Net Excellence 2003	Yury Gitman	awarded
Computer Animation/Visual Effects 2006	The Mill	awarded
Computer Animation 1995	Industrial Light & Magic (ILM)	awarded
Digital Musics 2008	Itoken	awarded
u19 - freestyle computing 2007	Thomas Raml	awarded
u19 - freestyle computing 2007	Simone Möslinger	awarded
Digital Musics 2009	Bill Fontana	awarded
Computer Graphics 1988	Jeremy Gardiner	awarded
cybergeneration-u19 freestyle computing 2002	Ulrich Reiterer	awarded
Computer Animation 1994	Eric Coignoux	awarded
Söke Dinkla	Media.Art.Research Award 2008	jurymember in
Interactive Art 2002	Luc Courchesne	awarded
Robert Normandeau	Computer Music 1997	jurymember in
Computer Animation / Visual Effects 2001	Candice Clémencet	awarded
Interactive Art 1992	Beverly Reiser	awarded
Interactive Art 2007	Tetsuaki Baba	awarded
Shuzo John Shiota	Computer Animation/Visual Effects 2006	jurymember in
Net Vision 2006	Markus Cremers	awarded
Computer Music 1995	Rolf Enström	awarded
cybergeneration-u19 freestyle computing 2002	Mathias Scherz	awarded
Sabine Seymour	[the next idea] Art and Technology Grant 2009	jurymember in
Interactive Art 1997	David Rokeby	awarded
Digital Musics 1999	Mego	awarded
.net 2000	Leonard Schaumann	awarded
Martin Pieper	u19-freestyle computing 2004	jurymember in
Ned Bouhalassa	Digital Musics 2001	jurymember in
Joichi Ito	World Wide Web 1995	jurymember in
Computer Animation 1990	Gerhard Pakesch	awarded
Computer Animation / Visual Effects 1999	Christian Boustani	awarded
Digital Communities 2004	Nabanna	awarded
.net 1999	Joanna Berzowska	awarded
Interactive Art 1993	Lynn Hershman	awarded
Computer Animation 1992	Mario Martin Buendia	awarded
Computer Animation 1995	Tom Bertino	awarded
Computer Animation / Visual Effects 2003	Koji Yamamura	awarded
Andreas Hirsch	Digital Communities 2004	jurymember in
Bernd Wiemann	[the next idea] Art and Technology Grant 2009	jurymember in
Computer Animation / Visual Effects 1999	Juan Tomicic Muller	awarded
Oliver Frommel	.net 1997	jurymember in
Joichi Ito	Digital Communities 2004	jurymember in
u19 - freestyle computing 2007	Lukas Huber	awarded
u19 - freestyle computing 2007	Josef Meingassner	awarded
Interactive Art 1993	Werner Cee	awarded
Digital Musics 2005	Paul DeMarinis	awarded
Rebecca Allen	Computer Graphics 1992	jurymember in
