 interaktives Kino	interactive Cinema	R_Sicht=art	R_GD_View=27 filmic view	R_JJJJ=(1991)	R_Sparte=FVI	
"Art" or rather invention ?	Invention	R_Sicht=art				
"Natural" Interfaces	14 view of sensor technology	R_Sicht=interface	R_GD_View=05 interface view			
"Natural" Interfaces	Body Schnittstellen (unmittelbare Schnittstellen)	R_Sicht=interface	R_GD_View=05 interface view			
"Verspieltheit"	32 playful view		R_GD_View=32 gaming view		R_Sparte=G	
01 atmospheres view	01 contextual view	R_Sicht=GD/GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	02 Immersion	R_Sicht=GD/GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	02 view of eros	R_Sicht=GD/GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	02 view of limitlessness	R_Sicht=GD/GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	aerial perspective	R_Sicht=GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	Atmosphere	R_Sicht=GD-View	R_GD_View=01 atmospheres view		R_Sparte=M	R_Quelle=SN
01 atmospheres view	Bildtapete	R_Sicht=GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	eintauchen	R_Sicht=GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	elektronische Atmosphaeren	R_Sicht=GD-View	R_GD_View=01 atmospheres view	R_JJJJ=(1989)		
01 atmospheres view	ephemere u bewegte Phaenomene (Rauch, Feuer, Regen)	R_Sicht=GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	Immersive Architecture	R_Sicht=GD-View	R_GD_View=01 atmospheres view			
01 atmospheres view	Klangatmosphären	R_Sicht=GD-View	R_GD_View=01 atmospheres view		R_Sparte=M	
01 atmospheres view	Klangwolke	R_Sicht=GD-View	R_GD_View=01 atmospheres view		R_Sparte=M	
01 atmospheres view	sky art	R_Sicht=GD-View	R_GD_View=01 atmospheres view			
01 contextual view	01 atmospheres view	R_Sicht=GD/GD-View	R_GD_View=01 contextual view			
01 contextual view	01 culture-theoretical view	R_Sicht=GD/GD-View	R_GD_View=01 contextual view			
01 contextual view	01 situation view (Linz)	R_Sicht=GD/GD-View	R_GD_View=01 contextual view			
