start	target	kontaktart	formell	informell
1	5	formell	f	
1	6	informell		i
1	3	formell	f	
2	3	formell	f	
2	5	informell		i
3	7	formell	f	
4	13	informell		i
4	1	informell		i
4	14	formell	f	
4	6	formell	f	
5	8	formell	f	
7	11	formell	f	
7	13	informell		i
7	21	informell		i
7	24	informell		i
7	25	formell	f	
7	11	formell	f	
7	1	formell	f	
7	6	formell	f	
8	27	formell	f	
9	23	formell	f	
10	17	formell	f	
11	18	formell	f	
12	19	formell	f	
13	20	formell	f	
14	21	informell		i
15	22	formell	f	
16	23	formell	f	
17	24	formell	f	
18	25	formell	f	
19	26	formell	f	
20	27	formell	f	
21	6	formell	f	
22	7	informell		i
23	8	formell	f	
24	9	formell	f	
25	10	formell	f	
26	11	formell	f	
27	12	formell	f	
28	5	formell	f	
29	16	informell		i
30	23	formell	f	
31	13	formell	f	
32	5	informell		i
32	7	formell	f	
32	13	informell		i
32	31	informell		i
33	14	formell	f	
34	9	formell	f	
35	28	formell	f	
36	11	formell	f	
37	13	informell		i
38	21	informell		i
39	24	informell		i
40	33	formell	f	
40	21	formell	f	
41	1	formell	f	
41	6	formell	f	
42	27	formell	f	
43	23	formell	f	
44	17	formell	f	
45	18	formell	f	
45	19	formell	f	
45	20	formell	f	
45	21	informell		i
45	22	formell	f	
45	23	formell	f	
45	34	formell	f	
46	25	formell	f	
47	26	formell	f	
48	27	formell	f	
49	6	formell	f	
50	7	informell		i
50	8	formell	f	
51	9	formell	f	
52	23	formell	f	
53	41	formell	f	
54	42	formell	f	
55	5	formell	f	
55	6	informell		i
55	3	formell	f	
55	33	formell	f	
55	15	informell		i
56	7	formell	f	
57	13	informell		i
57	1	informell		i
57	18	formell	f	
58	6	formell	f	
59	18	formell	f	
60	51	formell	f	
61	63	informell		i
62	21	informell		i
62	24	informell		i
62	54	formell	f	
63	11	formell	f	
63	1	formell	f	
64	26	formell	f	
65	27	formell	f	
66	63	formell	f	
67	17	formell	f	
68	18	formell	f	
68	19	formell	f	
68	20	formell	f	
68	21	informell		i
68	22	formell	f	
68	28	formell	f	
69	24	formell	f	
70	25	formell	f	
71	26	formell	f	
72	27	formell	f	
73	36	formell	f	
74	37	informell		i
75	8	formell	f	
75	9	formell	f	
75	10	formell	f	
75	11	formell	f	
76	52	formell	f	
76	45	formell	f	
76	46	informell		i
76	47	formell	f	
76	48	formell	f	
77	49	informell		i
78	50	formell	f	
79	51	informell		i
79	2	informell		i
79	3	formell	f	
79	4	formell	f	
79	5	formell	f	
79	6	formell	f	
80	63	informell		i
81	51	informell		i
81	24	informell		i
81	25	formell	f	
82	11	formell	f	
82	15	formell	f	
82	17	formell	f	
82	27	formell	f	
83	43	formell	f	
83	24	formell	f	
83	35	formell	f	
83	26	formell	f	
83	27	formell	f	
83	28	informell		i
84	22	formell	f	
85	23	formell	f	
85	24	formell	f	
85	25	formell	f	
85	26	formell	f	
85	27	formell	f	
85	6	formell	f	
86	7	informell		i
87	8	formell	f	
88	9	formell	f	
89	10	formell	f	
90	11	formell	f	
91	12	formell	f	
92	5	formell	f	
93	6	informell		i
94	3	formell	f	
95	3	formell	f	
96	5	informell		i
97	7	formell	f	
98	13	informell		i
99	1	informell		i
100	14	formell	f	
100	6	formell	f	
100	8	formell	f	
100	11	formell	f	
100	13	informell		i
100	21	informell		i
100	24	informell		i
100	25	formell	f		
